"","Terms","Count","Probability"
"1","santelena hotel venice italy",11,0.0102325581395349
"2","the end of the",11,0.0102325581395349
"3","the santelena hotel venice",11,0.0102325581395349
"4","at the end of",8,0.00744186046511628
"5","is one of the",8,0.00744186046511628
"6","for the first time",7,0.00651162790697674
"7","in the middle of",6,0.00558139534883721
"8","is going to be",6,0.00558139534883721
"9","to be able to",5,0.00465116279069767
"10","a bit of a",4,0.00372093023255814
"11","going to be a",4,0.00372093023255814
"12","i dont want to",4,0.00372093023255814
"13","i thought it would",4,0.00372093023255814
"14","i was able to",4,0.00372093023255814
"15","in the block of",4,0.00372093023255814
"16","in the death of",4,0.00372093023255814
"17","in the fourth quarter",4,0.00372093023255814
"18","it will be a",4,0.00372093023255814
"19","one of the best",4,0.00372093023255814
"20","the beginning of the",4,0.00372093023255814
"21","the rest of the",4,0.00372093023255814
"22","thought it would be",4,0.00372093023255814
"23","to come up with",4,0.00372093023255814
"24","a few years ago",3,0.0027906976744186
"25","a great way to",3,0.0027906976744186
"26","as soon as i",3,0.0027906976744186
"27","at the beginning of",3,0.0027906976744186
"28","at the same time",3,0.0027906976744186
"29","box from barnes and",3,0.0027906976744186
"30","cake cake cake cake",3,0.0027906976744186
"31","cant think of one",3,0.0027906976744186
"32","cant wait to see",3,0.0027906976744186
"33","don t feel like",3,0.0027906976744186
"34","dont know what to",3,0.0027906976744186
"35","for more than a",3,0.0027906976744186
"36","for the sake of",3,0.0027906976744186
"37","go on and on",3,0.0027906976744186
"38","going to get it",3,0.0027906976744186
"39","good news is that",3,0.0027906976744186
"40","had a lot of",3,0.0027906976744186
"41","has a lot of",3,0.0027906976744186
"42","hundreds of thousands of",3,0.0027906976744186
"43","i cant think of",3,0.0027906976744186
"44","i cant wait to",3,0.0027906976744186
"45","i don t feel",3,0.0027906976744186
"46","i have to say",3,0.0027906976744186
"47","i just want to",3,0.0027906976744186
"48","i m going to",3,0.0027906976744186
"49","i thought it was",3,0.0027906976744186
"50","i was going to",3,0.0027906976744186
"51","if you want to",3,0.0027906976744186
"52","in addition to the",3,0.0027906976744186
"53","in the us and",3,0.0027906976744186
"54","one of my favorite",3,0.0027906976744186
"55","one of the most",3,0.0027906976744186
"56","said in a statement",3,0.0027906976744186
"57","thanks for the follow",3,0.0027906976744186
"58","the death of a",3,0.0027906976744186
"59","the good news is",3,0.0027906976744186
"60","the only way to",3,0.0027906976744186
"61","the wall street journal",3,0.0027906976744186
"62","to go back to",3,0.0027906976744186
"63","to share with you",3,0.0027906976744186
"64","was more of a",3,0.0027906976744186
"65","when it comes to",3,0.0027906976744186
"66","will be able to",3,0.0027906976744186
"67","with a lot of",3,0.0027906976744186
"68","a bunch of us",2,0.00186046511627907
"69","a couch next to",2,0.00186046511627907
"70","a couple of days",2,0.00186046511627907
"71","a couple of weeks",2,0.00186046511627907
"72","a critique of your",2,0.00186046511627907
"73","a dram shop notice",2,0.00186046511627907
"74","a federal appeals court",2,0.00186046511627907
"75","a few weeks later",2,0.00186046511627907
"76","a link to their",2,0.00186046511627907
"77","a long list of",2,0.00186046511627907
"78","a long way to",2,0.00186046511627907
"79","a look at the",2,0.00186046511627907
"80","a lot of people",2,0.00186046511627907
"81","a lot of the",2,0.00186046511627907
"82","a lot of time",2,0.00186046511627907
"83","a lot to me",2,0.00186046511627907
"84","a residence was broken",2,0.00186046511627907
"85","a short list of",2,0.00186046511627907
"86","a small saucepan bring",2,0.00186046511627907
"87","a team that will",2,0.00186046511627907
"88","a trip down memory",2,0.00186046511627907
"89","about the impossible past",2,0.00186046511627907
"90","all of this and",2,0.00186046511627907
"91","all of your posts",2,0.00186046511627907
"92","all the way i",2,0.00186046511627907
"93","always sunshine and butterflies",2,0.00186046511627907
"94","am a fan of",2,0.00186046511627907
"95","am glad that i",2,0.00186046511627907
"96","amount of time i",2,0.00186046511627907
"97","an edible arrangement for",2,0.00186046511627907
"98","and a bunch of",2,0.00186046511627907
"99","and a half stars",2,0.00186046511627907
"100","and as a general",2,0.00186046511627907
"101","and chief executive officer",2,0.00186046511627907
"102","and for some reason",2,0.00186046511627907
"103","and hover to grab",2,0.00186046511627907
"104","and i dont know",2,0.00186046511627907
"105","and i had a",2,0.00186046511627907
"106","and it s not",2,0.00186046511627907
"107","and make it a",2,0.00186046511627907
"108","and no i am",2,0.00186046511627907
"109","and once they are",2,0.00186046511627907
"110","and sign up for",2,0.00186046511627907
"111","and that was the",2,0.00186046511627907
"112","and wait for the",2,0.00186046511627907
"113","and yes i did",2,0.00186046511627907
"114","are a lot of",2,0.00186046511627907
"115","are on their way",2,0.00186046511627907
"116","as am i he",2,0.00186046511627907
"117","as being a good",2,0.00186046511627907
"118","as i thought it",2,0.00186046511627907
"119","as of last week",2,0.00186046511627907
"120","as part of the",2,0.00186046511627907
"121","as they used to",2,0.00186046511627907
"122","as to why i",2,0.00186046511627907
"123","as well as a",2,0.00186046511627907
"124","as well as my",2,0.00186046511627907
"125","at the moment this",2,0.00186046511627907
"126","at the ncaa track",2,0.00186046511627907
"127","at the time of",2,0.00186046511627907
"128","at the university of",2,0.00186046511627907
"129","babies i lost in",2,0.00186046511627907
"130","back on the field",2,0.00186046511627907
"131","be found in christ",2,0.00186046511627907
"132","be sure to stop",2,0.00186046511627907
"133","because there s a",2,0.00186046511627907
"134","because they were not",2,0.00186046511627907
"135","because you never know",2,0.00186046511627907
"136","been in control of",2,0.00186046511627907
"137","being what it is",2,0.00186046511627907
"138","best city in the",2,0.00186046511627907
"139","but i think it",2,0.00186046511627907
"140","but i would like",2,0.00186046511627907
"141","but it sounds like",2,0.00186046511627907
"142","but now there are",2,0.00186046511627907
"143","but these are the",2,0.00186046511627907
"144","by a lack of",2,0.00186046511627907
"145","by the end of",2,0.00186046511627907
"146","c u dance again",2,0.00186046511627907
"147","call for a byelection",2,0.00186046511627907
"148","calories g protein g",2,0.00186046511627907
"149","can bring up to",2,0.00186046511627907
"150","cant even tell you",2,0.00186046511627907
"151","carbohydrate g g saturated",2,0.00186046511627907
"152","cell phone absolutely free",2,0.00186046511627907
"153","city in the world",2,0.00186046511627907
"154","closer we come to",2,0.00186046511627907
"155","college and high school",2,0.00186046511627907
"156","control of the match",2,0.00186046511627907
"157","copy of minettes feast",2,0.00186046511627907
"158","could go on and",2,0.00186046511627907
"159","critique of your synopsis",2,0.00186046511627907
"160","days from the calendar",2,0.00186046511627907
"161","did i tell you",2,0.00186046511627907
"162","didn t want to",2,0.00186046511627907
"163","dinner only workshop only",2,0.00186046511627907
"164","dinnerworkshop dinner only workshop",2,0.00186046511627907
"165","display from the castle",2,0.00186046511627907
"166","do that with a",2,0.00186046511627907
"167","doctor took her off",2,0.00186046511627907
"168","doesn t complain when",2,0.00186046511627907
"169","don t trust t",2,0.00186046511627907
"170","dont even know what",2,0.00186046511627907
"171","dont know if i",2,0.00186046511627907
"172","dont want to read",2,0.00186046511627907
"173","early detection and treatment",2,0.00186046511627907
"174","end of the day",2,0.00186046511627907
"175","even know what to",2,0.00186046511627907
"176","feel as if i",2,0.00186046511627907
"177","for a couple of",2,0.00186046511627907
"178","for a long time",2,0.00186046511627907
"179","for quite a while",2,0.00186046511627907
"180","for quite some time",2,0.00186046511627907
"181","for the past few",2,0.00186046511627907
"182","for those people who",2,0.00186046511627907
"183","for us in the",2,0.00186046511627907
"184","forward to hearing it",2,0.00186046511627907
"185","from barnes and nobles",2,0.00186046511627907
"186","from nd to th",2,0.00186046511627907
"187","g carbohydrate g g",2,0.00186046511627907
"188","g g saturated mg",2,0.00186046511627907
"189","g protein g carbohydrate",2,0.00186046511627907
"190","g saturated mg cholesterol",2,0.00186046511627907
"191","get in the way",2,0.00186046511627907
"192","get to go back",2,0.00186046511627907
"193","go as far as",2,0.00186046511627907
"194","going to have to",2,0.00186046511627907
"195","grab them her before",2,0.00186046511627907
"196","great way to end",2,0.00186046511627907
"197","had a great time",2,0.00186046511627907
"198","had to make a",2,0.00186046511627907
"199","happy valentine s day",2,0.00186046511627907
"200","harry potter and the",2,0.00186046511627907
"201","have a lot of",2,0.00186046511627907
"202","have accepted this resolution",2,0.00186046511627907
"203","have to do with",2,0.00186046511627907
"204","have to find someone",2,0.00186046511627907
"205","have to remind myself",2,0.00186046511627907
"206","he didnt have a",2,0.00186046511627907
"207","he is going to",2,0.00186046511627907
"208","him in exchange for",2,0.00186046511627907
"209","hotel venice italy and",2,0.00186046511627907
"210","hotel venice italy of",2,0.00186046511627907
"211","hour and a half",2,0.00186046511627907
"212","hover to grab them",2,0.00186046511627907
"213","how this turned out",2,0.00186046511627907
"214","i also wanted to",2,0.00186046511627907
"215","i am a fan",2,0.00186046511627907
"216","i am glad that",2,0.00186046511627907
"217","i am going to",2,0.00186046511627907
"218","i am trying to",2,0.00186046511627907
"219","i cant even tell",2,0.00186046511627907
"220","i d like to",2,0.00186046511627907
"221","i didn t want",2,0.00186046511627907
"222","i don t trust",2,0.00186046511627907
"223","i dont even know",2,0.00186046511627907
"224","i dont know if",2,0.00186046511627907
"225","i dont know what",2,0.00186046511627907
"226","i dont know why",2,0.00186046511627907
"227","i feel like a",2,0.00186046511627907
"228","i feel like i",2,0.00186046511627907
"229","i feel like my",2,0.00186046511627907
"230","i had to take",2,0.00186046511627907
"231","i have a very",2,0.00186046511627907
"232","i know that i",2,0.00186046511627907
"233","i m not a",2,0.00186046511627907
"234","i m not sure",2,0.00186046511627907
"235","i m on the",2,0.00186046511627907
"236","i need is a",2,0.00186046511627907
"237","i should have taken",2,0.00186046511627907
"238","i wanna dance with",2,0.00186046511627907
"239","i was a little",2,0.00186046511627907
"240","i was in the",2,0.00186046511627907
"241","i will not be",2,0.00186046511627907
"242","i will tell you",2,0.00186046511627907
"243","i would like to",2,0.00186046511627907
"244","i wouldn t be",2,0.00186046511627907
"245","if i have it",2,0.00186046511627907
"246","if you have an",2,0.00186046511627907
"247","if you have to",2,0.00186046511627907
"248","im kind of a",2,0.00186046511627907
"249","im not gonna be",2,0.00186046511627907
"250","in a couple of",2,0.00186046511627907
"251","in a lot of",2,0.00186046511627907
"252","in a small saucepan",2,0.00186046511627907
"253","in a statement that",2,0.00186046511627907
"254","in a way to",2,0.00186046511627907
"255","in case you are",2,0.00186046511627907
"256","in control of the",2,0.00186046511627907
"257","in each of the",2,0.00186046511627907
"258","in front of me",2,0.00186046511627907
"259","in front of my",2,0.00186046511627907
"260","in such flavors as",2,0.00186046511627907
"261","in the back yard",2,0.00186046511627907
"262","in the city of",2,0.00186046511627907
"263","in the form of",2,0.00186046511627907
"264","in the long run",2,0.00186046511627907
"265","in the spirit of",2,0.00186046511627907
"266","in the style of",2,0.00186046511627907
"267","in the two years",2,0.00186046511627907
"268","in the united states",2,0.00186046511627907
"269","in the wake of",2,0.00186046511627907
"270","into each muffin cup",2,0.00186046511627907
"271","is a great way",2,0.00186046511627907
"272","is a link to",2,0.00186046511627907
"273","is the fourth in",2,0.00186046511627907
"274","is the santelena hotel",2,0.00186046511627907
"275","it a crime to",2,0.00186046511627907
"276","it comes down to",2,0.00186046511627907
"277","it is not an",2,0.00186046511627907
"278","it is still about",2,0.00186046511627907
"279","it means a lot",2,0.00186046511627907
"280","it out then i",2,0.00186046511627907
"281","it took me a",2,0.00186046511627907
"282","it was hard to",2,0.00186046511627907
"283","it was time to",2,0.00186046511627907
"284","just around the corner",2,0.00186046511627907
"285","just don t feel",2,0.00186046511627907
"286","just made this up",2,0.00186046511627907
"287","keep in mind that",2,0.00186046511627907
"288","know a lot of",2,0.00186046511627907
"289","know what to do",2,0.00186046511627907
"290","know what to say",2,0.00186046511627907
"291","like a lot of",2,0.00186046511627907
"292","looking forward to seeing",2,0.00186046511627907
"293","looking forward to the",2,0.00186046511627907
"294","losing the old baggage",2,0.00186046511627907
"295","make fun of myself",2,0.00186046511627907
"296","make it a crime",2,0.00186046511627907
"297","makes it easier for",2,0.00186046511627907
"298","makes you feel bad",2,0.00186046511627907
"299","means a lot to",2,0.00186046511627907
"300","mg cholesterol mg sodium",2,0.00186046511627907
"301","minority view does not",2,0.00186046511627907
"302","more than a year",2,0.00186046511627907
"303","much better than i",2,0.00186046511627907
"304","my new job i",2,0.00186046511627907
"305","ncaa track field championships",2,0.00186046511627907
"306","nd to th streets",2,0.00186046511627907
"307","not worth it in",2,0.00186046511627907
"308","of all the other",2,0.00186046511627907
"309","of course there are",2,0.00186046511627907
"310","of ice and fire",2,0.00186046511627907
"311","of my favorite things",2,0.00186046511627907
"312","of the best things",2,0.00186046511627907
"313","of the season the",2,0.00186046511627907
"314","of the st louis",2,0.00186046511627907
"315","of the state legislative",2,0.00186046511627907
"316","of the things that",2,0.00186046511627907
"317","of their own in",2,0.00186046511627907
"318","of them were due",2,0.00186046511627907
"319","of thousands of dollars",2,0.00186046511627907
"320","on a card i",2,0.00186046511627907
"321","on a couch next",2,0.00186046511627907
"322","on and on about",2,0.00186046511627907
"323","on and so forth",2,0.00186046511627907
"324","on my birthday with",2,0.00186046511627907
"325","on the other hand",2,0.00186046511627907
"326","once they started picking",2,0.00186046511627907
"327","one of the areas",2,0.00186046511627907
"328","one thing i ve",2,0.00186046511627907
"329","only workshop only for",2,0.00186046511627907
"330","oregon department of transportation",2,0.00186046511627907
"331","party was held on",2,0.00186046511627907
"332","pay for in taxes",2,0.00186046511627907
"333","pen to paper and",2,0.00186046511627907
"334","people will forget what",2,0.00186046511627907
"335","per serving calories g",2,0.00186046511627907
"336","phone absolutely free of",2,0.00186046511627907
"337","picking winners and losers",2,0.00186046511627907
"338","pinal county sheriffs office",2,0.00186046511627907
"339","preach the gospel in",2,0.00186046511627907
"340","president and chief executive",2,0.00186046511627907
"341","pros and cons of",2,0.00186046511627907
"342","protein g carbohydrate g",2,0.00186046511627907
"343","really means a lot",2,0.00186046511627907
"344","residence was broken into",2,0.00186046511627907
"345","s to early s",2,0.00186046511627907
"346","said the same thing",2,0.00186046511627907
"347","same thing to the",2,0.00186046511627907
"348","saturated mg cholesterol mg",2,0.00186046511627907
"349","serving calories g protein",2,0.00186046511627907
"350","sex and the city",2,0.00186046511627907
"351","should probably tell you",2,0.00186046511627907
"352","sitting on a couch",2,0.00186046511627907
"353","so excited to see",2,0.00186046511627907
"354","so i thought of",2,0.00186046511627907
"355","so i wanted to",2,0.00186046511627907
"356","so much so that",2,0.00186046511627907
"357","so on and so",2,0.00186046511627907
"358","some of the best",2,0.00186046511627907
"359","song of ice and",2,0.00186046511627907
"360","st class eanext classes",2,0.00186046511627907
"361","started picking winners and",2,0.00186046511627907
"362","t complain when i",2,0.00186046511627907
"363","talk about the impossible",2,0.00186046511627907
"364","tell them it is",2,0.00186046511627907
"365","thank you for coming",2,0.00186046511627907
"366","thank you for the",2,0.00186046511627907
"367","that i didn t",2,0.00186046511627907
"368","that was the only",2,0.00186046511627907
"369","the australian medical association",2,0.00186046511627907
"370","the babies i lost",2,0.00186046511627907
"371","the back of the",2,0.00186046511627907
"372","the beginning of an",2,0.00186046511627907
"373","the best city in",2,0.00186046511627907
"374","the closer we come",2,0.00186046511627907
"375","the first installment of",2,0.00186046511627907
"376","the first place i",2,0.00186046511627907
"377","the first time the",2,0.00186046511627907
"378","the health care law",2,0.00186046511627907
"379","the heart of the",2,0.00186046511627907
"380","the last couple of",2,0.00186046511627907
"381","the majority wants count",2,0.00186046511627907
"382","the minority view does",2,0.00186046511627907
"383","the most important thing",2,0.00186046511627907
"384","the national honor society",2,0.00186046511627907
"385","the natural use of",2,0.00186046511627907
"386","the ncaa track field",2,0.00186046511627907
"387","the people who are",2,0.00186046511627907
"388","the pinal county sheriffs",2,0.00186046511627907
"389","the plane of the",2,0.00186046511627907
"390","the pros and cons",2,0.00186046511627907
"391","the same thing to",2,0.00186046511627907
"392","the style of the",2,0.00186046511627907
"393","the university of colorado",2,0.00186046511627907
"394","the way i had",2,0.00186046511627907
"395","the way up to",2,0.00186046511627907
"396","the winner of the",2,0.00186046511627907
"397","the womens title at",2,0.00186046511627907
"398","them and hover to",2,0.00186046511627907
"399","them it is still",2,0.00186046511627907
"400","them were due to",2,0.00186046511627907
"401","then i thought of",2,0.00186046511627907
"402","there are a lot",2,0.00186046511627907
"403","there are so many",2,0.00186046511627907
"404","they are trying to",2,0.00186046511627907
"405","they pay for in",2,0.00186046511627907
"406","they started picking winners",2,0.00186046511627907
"407","they used to be",2,0.00186046511627907
"408","think the oscars telecast",2,0.00186046511627907
"409","this is a link",2,0.00186046511627907
"410","this is going to",2,0.00186046511627907
"411","this is still a",2,0.00186046511627907
"412","this is the fourth",2,0.00186046511627907
"413","this is why the",2,0.00186046511627907
"414","this weekend in the",2,0.00186046511627907
"415","those people who need",2,0.00186046511627907
"416","those who think the",2,0.00186046511627907
"417","time of the year",2,0.00186046511627907
"418","title at the ncaa",2,0.00186046511627907
"419","to call for a",2,0.00186046511627907
"420","to do so the",2,0.00186046511627907
"421","to do with the",2,0.00186046511627907
"422","to figure out what",2,0.00186046511627907
"423","to find someone who",2,0.00186046511627907
"424","to grab them her",2,0.00186046511627907
"425","to have some fun",2,0.00186046511627907
"426","to listen to the",2,0.00186046511627907
"427","to see what the",2,0.00186046511627907
"428","to step down as",2,0.00186046511627907
"429","to talk about the",2,0.00186046511627907
"430","to the second round",2,0.00186046511627907
"431","towards the end of",2,0.00186046511627907
"432","trip down memory lane",2,0.00186046511627907
"433","try to hug me",2,0.00186046511627907
"434","two and a half",2,0.00186046511627907
"435","video with a message",2,0.00186046511627907
"436","view does not matter",2,0.00186046511627907
"437","wanna dance with somebody",2,0.00186046511627907
"438","want to come back",2,0.00186046511627907
"439","want to let them",2,0.00186046511627907
"440","want to see a",2,0.00186046511627907
"441","was a little disappointed",2,0.00186046511627907
"442","was a sad day",2,0.00186046511627907
"443","was aware of the",2,0.00186046511627907
"444","was going to get",2,0.00186046511627907
"445","was held on the",2,0.00186046511627907
"446","was one of my",2,0.00186046511627907
"447","was so much fun",2,0.00186046511627907
"448","was the beginning of",2,0.00186046511627907
"449","was wet and soiled",2,0.00186046511627907
"450","way to end the",2,0.00186046511627907
"451","we are going to",2,0.00186046511627907
"452","we just have to",2,0.00186046511627907
"453","what the majority wants",2,0.00186046511627907
"454","what to do with",2,0.00186046511627907
"455","when i told them",2,0.00186046511627907
"456","when they are trying",2,0.00186046511627907
"457","who think the oscars",2,0.00186046511627907
"458","will forget what you",2,0.00186046511627907
"459","will not be sick",2,0.00186046511627907
"460","wish i could have",2,0.00186046511627907
"461","with a message is",2,0.00186046511627907
"462","with a side of",2,0.00186046511627907
"463","womens title at the",2,0.00186046511627907
"464","worth it in the",2,0.00186046511627907
"465","would you like to",2,0.00186046511627907
"466","wouldn t be a",2,0.00186046511627907
"467","year but we are",2,0.00186046511627907
"468","years in a row",2,0.00186046511627907
"469","you dont want to",2,0.00186046511627907
"470","you guys are awesome",2,0.00186046511627907
"471","you have to be",2,0.00186046511627907
"472","you know when you",2,0.00186046511627907
"473","you should have come",2,0.00186046511627907
"474","you tell them it",2,0.00186046511627907
